Mouser,Quantity
595-430FR2512IRHLR,1
765-RN42HID-I/RM,1
621-AP3513EMPTR-G1,1
77-VJ1206Y104KXXPBC,5
755-SFR01MZPF1003,9
710-885012205047,1
71-CRCW060313K0FKEAC,1
77-VJ0603Y103KXAAC,2
74-TMCMA1C106MTRF,2
963-NRH2410T4R7MN,1
581-TAJB226K016TNJ,2
652-CR0402-FX2612GLF,1
754-RR0510P-103D,1
710-150060VS75000,3
755-ESR03EZPJ471,5
754-RR0510P-103D,2
74-TMCMA1C106MTRF,1
520-ECS327-6-13-X,1
81-GRM0225C1C100JA3L,2
755-RU1E002SPTCL,1
77-VJ0603Y102JXJPBC,1
603-CC805MKX7R6BB105,1
